UID          PID    PPID  C STIME TTY          TIME CMD
evelyny+    1376    1375  0 15:14 ?        00:00:00 (sd-pam)
evelyny+    1382    1375  0 15:14 ?        00:00:00 /usr/bin/pipewire
evelyny+    1383    1375  0 15:14 ?        00:00:00 /usr/bin/pipewire-media-session
evelyny+    1384    1375  0 15:14 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
evelyny+    1389    1375  0 15:14 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
evelyny+    1392       1  0 15:14 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
evelyny+    1397    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfsd
evelyny+    1405    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
evelyny+    1412    1367  0 15:14 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
evelyny+    1415    1412  0 15:14 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
evelyny+    1448    1375  0 15:14 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
evelyny+    1467    1375  0 15:14 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
evelyny+    1483    1375  0 15:14 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
evelyny+    1502    1483  0 15:14 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
evelyny+    1503    1375 10 15:14 ?        00:06:30 /usr/bin/gnome-shell
evelyny+    1511    1502  0 15:14 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
evelyny+    1512    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
evelyny+    1518    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
evelyny+    1523    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
evelyny+    1529    1375  0 15:14 ?        00:00:00 /usr/libexec/goa-daemon
evelyny+    1537    1375  0 15:14 ?        00:00:00 /usr/libexec/goa-identity-service
evelyny+    1543    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
evelyny+    1556    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
evelyny+    1570    1375  0 15:14 ?        00:00:00 /usr/libexec/xdg-permission-store
evelyny+    1572    1375  0 15:14 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
evelyny+    1581    1375  0 15:14 ?        00:00:00 /usr/libexec/evolution-source-registry
evelyny+    1588    1375  0 15:14 ?        00:00:00 /usr/libexec/evolution-calendar-factory
evelyny+    1597    1375  0 15:14 ?        00:00:00 /usr/libexec/dconf-service
evelyny+    1598    1375  0 15:14 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
evelyny+    1604    1397  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
evelyny+    1618    1375  0 15:14 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
evelyny+    1621    1375  0 15:14 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
evelyny+    1634    1375  0 15:14 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
evelyny+    1635    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-a11y-settings
evelyny+    1638    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-color
evelyny+    1644    1375  0 15:14 ?        00:00:00 /usr/bin/spice-vdagent
evelyny+    1648    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-datetime
evelyny+    1649    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-housekeeping
evelyny+    1650    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-keyboard
evelyny+    1651    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-media-keys
evelyny+    1652    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-power
evelyny+    1653    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-print-notifications
evelyny+    1655    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-rfkill
evelyny+    1656    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
evelyny+    1657    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-sharing
evelyny+    1658    1503  0 15:14 ?        00:00:07 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.QJVI41 -listen 4 -listen 5 -displayfd 6 -initfd 7
evelyny+    1660    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-smartcard
evelyny+    1662    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-sound
evelyny+    1663    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-wacom
evelyny+    1672    1634  0 15:14 ?        00:00:09 /usr/bin/ibus-daemon --panel disable
evelyny+    1725    1672  0 15:14 ?        00:00:00 /usr/libexec/ibus-dconf
evelyny+    1727    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-printer
evelyny+    1729    1672  0 15:14 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
evelyny+    1738    1375  0 15:14 ?        00:00:00 /usr/libexec/ibus-portal
evelyny+    1760    1672  0 15:14 ?        00:00:03 /usr/libexec/ibus-engine-simple
evelyny+    1764    1375  0 15:14 ?        00:00:00 /usr/libexec/gsd-xsettings
evelyny+    1774    1375  0 15:14 ?        00:00:00 /usr/libexec/xdg-desktop-portal
evelyny+    1787    1375  0 15:14 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1794    1787  0 15:14 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
evelyny+    1798    1375  0 15:14 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
evelyny+    1801    1375  0 15:14 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
evelyny+    1833    1375  0 15:14 ?        00:00:00 /usr/libexec/ibus-x11
evelyny+    1844    1483  0 15:14 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
evelyny+    1863    1483  0 15:14 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
evelyny+    1903    1503  0 15:14 ?        00:00:03 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:74:0:0
evelyny+    1921    1375  0 15:14 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
evelyny+    1950    1375  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-metadata
evelyny+    1977    1375  0 15:14 ?        00:00:27 /usr/libexec/gnome-terminal-server
evelyny+    1995    1977  0 15:14 pts/0    00:00:00 bash
evelyny+    2041    1483  0 15:15 ?        00:00:00 update-notifier
root        2281       1  0 15:19 ?        00:00:26 /usr/lib/snapd/snapd
evelyny+    2598    1375  0 15:23 ?        00:00:00 /usr/bin/seahorse --gapplication-service
evelyny+    2601    1375  0 15:23 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
root        2831       2  0 15:29 ?        00:00:00 [kworker/u8:1-flush-253:0]
root        2875       2  0 15:33 ?        00:00:01 [kworker/u8:4-ext4-rsv-conversion]
evelyny+    3195    1392  0 15:35 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
evelyny+    3203    1375  0 15:36 ?        00:00:00 ssh-agent -s
evelyny+    3238    1397  0 15:37 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
evelyny+    3252    1397  0 15:37 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.2 /org/gtk/gvfs/exec_spaw/3
evelyny+    3276    1397  0 15:37 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.2 /org/gtk/gvfs/exec_spaw/5
root        3623       2  0 15:38 ?        00:00:00 [kworker/1:3-events]
root        3869       2  0 15:45 ?        00:00:01 [kworker/0:0-events]
root        4134       2  0 15:45 ?        00:00:00 [kworker/2:1-events]
root        5231       1  0 15:49 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        5280       1  0 15:49 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        5312       2  0 15:50 ?        00:00:00 [kworker/3:4-events]
evelyny+    5696    1375  0 15:50 ?        00:00:00 /usr/bin/snap userd
root        6958       2  0 15:58 ?        00:00:00 [kworker/3:0-events]
root        6971       2  0 15:58 ?        00:00:00 [kworker/2:0-events]
evelyny+    6976    1375  0 15:59 ?        00:00:00 ssh-agent -s
root        7657       2  0 16:10 ?        00:00:00 [kworker/0:2-mm_percpu_wq]
root        7658       2  0 16:10 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root        7747       2  0 16:16 ?        00:00:00 [kworker/0:1-events]
root        8020       2  0 16:17 ?        00:00:00 [kworker/u8:0]
evelyny+    8021    1995  0 16:17 pts/0    00:00:00 ps -ef
